country,lifeExp,pop,gdpPercap,total_emissions,per_capita_emissions,region
Argentina,75.32,40301927,12779.37964,149476.04,3.819,south
Bolivia,65.554,9119152,3822.1370840000004,8975.809,0.984,south
Brazil,72.39,190010647,9065.800825,311623.799,1.667,south
Canada,80.65300000000002,33390141,36319.23501,540431.495,16.762,north
Chile,78.553,16284741,13171.63885,54434.634,3.343,south
Colombia,72.889,44227550,7006.580419,53585.3,1.238,south
Costa Rica,78.782,4133884,9645.06142,5463.059,1.286,south
Cuba,78.273,11416987,8948.102923,25051.431,2.22,south
Dominican Republic,72.235,9319622,6025.374752,17522.139,1.897,south
Ecuador,74.994,13755680,6873.262325999999,23926.725,1.742,south
El Salvador,71.878,6939688,5728.353514,6252.815,1.037,south
Guatemala,70.259,12572928,5186.050003,10621.597,0.811,south
Haiti,60.916,8502814,1201.637154,1980.992,0.214,south
Honduras,70.198,7483763,3548.330846,7192.737,0.976,south
Jamaica,72.567,2780132,7320.880262000001,10281.648,3.746,south
Mexico,76.195,108700891,11977.57496,412385.135,3.854,north
Nicaragua,72.899,5675356,2749.320965,4032.083,0.75,south
Panama,75.537,3242173,9809.185636,6776.118,2.035,south
Paraguay,71.752,6667147,4172.838464,3472.665,0.599,south
Peru,71.421,28674757,7408.905561,28632.888,1.037,south
Trinidad and Tobago,69.819,1056608,18008.50924,17175.823,13.243,south
United States,78.24851304439883,305082438,62280.3621,5703220.175,19.268,north
Uruguay,76.384,3447496,10611.46299,5151.871,1.549,south
Venezuela,73.747,26084662,11415.80569,137701.548,5.141,south
